Location Name,Country,X,Y,weights,Annotation
Franklin,United States,39.96118,-82.99879,5,annotation 1
Franklin,New Zealand,-37.16667,175,5,annotation 2
Franklin,Antarctica,-76.08333,168.31667,5,annotation 3
Franklin,Australia,-33.60164,136.94148,5,annotation 4
Franklin,Canada,45.04682,-73.90047,5,annotation 5
England,United Kingdom,51.50853,-0.12574,27,annotation 6
England,Jamaica,17.99358,-77.46606,27,annotation 7
Neptune,Israel,29.54976,34.9563,1,annotation 8
Neptune,Papua New Guinea,-4.49477,145.45542,1,annotation 9
Neptune,Trinidad and Tobago,10.83333,-60.9,1,annotation 10
Neptune,French Guiana,4.05874,-53.08874,1,annotation 11
Neptune,Haiti,18.66667,-71.86667,1,annotation 12
Neptune,Philippines,14.67821,121.11774,1,annotation 13
Neptune,South Africa,-34.34607,18.4616,1,annotation 14
Neptune,Italy,40.56667,8.15,1,annotation 15
Neptune,Sri Lanka,7.2833,80.3,1,annotation 16
Neptune,France,43.69382,7.25784,1,annotation 17
Neptune,Zimbabwe,-17.72539,31.45192,1,annotation 18
Neptune,Tanzania,-5.923,39.36,1,annotation 19
Neptune,Senegal,14.43808,-17.00579,1,annotation 20
Neptune,Russia,59.93904,30.31578,1,annotation 21
Neptune,Chile,-44.47308,-71.6398,1,annotation 22
Neptune,Greece,36.84854,27.0794,1,annotation 23
Pa,Mexico,19.35738,-99.0671,125,annotation 24
Pa,Peru,-16.39889,-71.535,125,annotation 25
Pa,Uganda,0.31628,32.58219,125,annotation 26
Pa,Honduras,14.0818,-87.20681,125,annotation 27
Pa,Suriname,5.86638,-55.16682,125,annotation 28
Pa,American Samoa,-14.27806,-170.7025,125,annotation 29
Pa,Brazil,-1.45583,-48.50444,125,annotation 30
Pa,Norfolk Island,-29.05459,167.96628,125,annotation 31
Pa,Isle of Man,54.15,-4.48333,125,annotation 32
Pa,Seychelles,-4.61667,55.45,125,annotation 33
Pa,Lithuania,55.73333,24.35,125,annotation 34
Pa,Latvia,56.51667,21.01667,125,annotation 35
Pa,French Polynesia,-17.53733,-149.5665,125,annotation 36
Pa,Aruba,12.52398,-70.02703,125,annotation 37
Pa,Bahamas,25.05823,-77.34306,125,annotation 38
Pa,Panama,9.05032,-79.47068,125,annotation 39
Pa,Vietnam,22.34023,103.84415,125,annotation 40
Pa,Thailand,19.50643,99.97615,125,annotation 41
Pa,Iran,27.27604,53.721,125,annotation 42
Pa,China,43.96667,116.03333,125,annotation 43
Pa,Mauritius,-20.05472,57.54528,125,annotation 44
Pa,Nicaragua,12.92559,-85.91747,125,annotation 45
Pa,Spain,39.46975,-0.37739,125,annotation 46
Pa,Saint Helena,-7.93333,-14.41667,125,annotation 47
Pa,Pakistan,30,70,125,annotation 48
Pa,Cyprus,35.33634,33.31729,125,annotation 49
Pa,U.S. Virgin Islands,18.3419,-64.9307,125,annotation 50
Pa,Cayman Islands,19.2866,-81.37436,125,annotation 51
Pa,Bermuda,32.2949,-64.78303,125,annotation 52
Pa,Taiwan,24.07699,120.64222,125,annotation 53
Pa,Myanmar [Burma],24.0793,97.17752,125,annotation 54
Pa,Togo,6.9,0.63333,125,annotation 55
Pa,Benin,9.33716,2.63031,125,annotation 56
Pa,Zambia,-13.63333,32.65,125,annotation 57
Pa,Uruguay,-32.32139,-58.07556,125,annotation 58
Pa,Czech Republic,50.04075,15.77659,125,annotation 59
Pa,Paraguay,-23.33333,-58,125,annotation 60
Beauregard,Martinique,14.6,-60.9,5,annotation 61
Beauregard,Guadeloupe,16.12254,-61.61588,5,annotation 62
Beauregard,Guernsey,49.43028,-2.36944,5,annotation 63
Beauregard,Grenada,12.11293,-61.67625,5,annotation 64
Dalton,Greenland,69.41667,-24.1,24,annotation 65
Dalton,Ireland,53.51667,-7.51667,24,annotation 66
Providence,Marshall Islands,9.81648,160.91434,2,annotation 67
Providence,Liberia,6.31667,-10.8,2,annotation 68
Spartan,Kazakhstan,51.43521,52.08245,1,annotation 69
California,Colombia,7.3434,-72.95815,2,annotation 70
Wilkes,Kiribati,2.05945,173.27484,263,annotation 71
Georgia,Georgia,41.99998,43.4999,130,annotation 72
Georgia,South Georgia and the South Sandwich Islands,-56,-33,130,annotation 73
Georgia,Solomon Islands,-8.22975,157.58188,130,annotation 74
Georgia,Romania,45.03655,28.45947,130,annotation 75
Nassau,Netherlands,51.4475,4.92917,10,annotation 76
Nassau,Cook Islands,-11.55,-165.41667,10,annotation 77
Nassau,Guyana,5.7583,-57.65743,10,annotation 78
Cochin,India,9.93988,76.26022,1,annotation 79
Mimosa,Malawi,-16.08151,35.58443,13,annotation 80
Mimosa,Argentina,-34.8726,-65.09751,13,annotation 81
Mimosa,Democratic Republic of the Congo,-4.32878,15.22757,13,annotation 82
Mimosa,Kenya,-1.21448,36.8034,13,annotation 83
Mimosa,Croatia,45.08067,14.15244,13,annotation 84
Mimosa,Saint Pierre and Miquelon,46.77639,-56.175,13,annotation 85
Mimosa,Portugal,37.28333,-7.71667,13,annotation 86
Mimosa,Algeria,36.90286,7.75554,13,annotation 87
Mimosa,Bulgaria,43.2839,28.04078,13,annotation 88
Mimosa,Malaysia,2.19915,102.25162,13,annotation 89
Resaca,Dominican Republic,18.73333,-71.01667,7,annotation 90
Resaca,Puerto Rico,18.33551,-65.29127,7,annotation 91
Resaca,Bolivia,-10.16667,-66.95,7,annotation 92
Resaca,Cuba,22.05383,-82.87251,7,annotation 93
Resaca,Venezuela,8.06284,-69.26517,7,annotation 94
Havana,Turkey,37.13697,38.17086,2,annotation 95
Carolinas,Northern Mariana Islands,14.96655,145.64914,4,annotation 96
Carolinas,Micronesia,7.2099,147.94189,4,annotation 97
Carolinas,Guatemala,14.15,-90.88333,4,annotation 98
Ind.,Norway,63.37409,8.52891,1,annotation 99
Ind.,Mozambique,-21.81639,35.18028,1,annotation 100
Ind.,Serbia,45.04816,20.08165,1,annotation 101
Ind.,Yemen,13.21056,44.785,1,annotation 102
Ind.,Lebanon,33.9925,35.75694,1,annotation 103
Ind.,United Arab Emirates,25.17804,55.35012,1,annotation 104
Ind.,Iraq,33.27575,40.86337,1,annotation 105
Ind.,Switzerland,46.54125,6.83153,1,annotation 106
Cuba,Azerbaijan,41.36108,48.51341,3,annotation 107
Cuba,Japan,34.6913,135.183,3,annotation 108
Cuba,Turkmenistan,40.03792,52.94313,3,annotation 109
